Слово,Частота
цвета,407
надпись,307
мужчина,296
аннотация,290
стоит,290
чертежа,281
фотокопия,277
рост,272
подпись,264
негативе,243
общий,238
стороны,233
голова,223
печатная,223
портрет,223
мужчины,208
дата,182
фасада,180
фигура,179
тбилиси,174
правой,174
сидит,170
втором,168
левой,167
руки,166
дома,163
стороне,163
проекта,160
номер,157
чернобелая,157
часть,150
карандашом,149
профиль,146
одет,143
стоят,136
грузия,136
группа,134
женщина,130
фрески,129
глянцевая,127
мужчин,125
платье,124
грузинском,120
руках,120
подписи,117
текст,117
чб,117
церковь,116
голове,116
погрудное,116
эскиз,115
волосы,114
руке,114
ссср,114
листе,113
стоя,110
2,109
верхнему,109
пейзаж,108
чернилами,108
левом,107
альбом,107
анфас,107
имеется,105
выполненной,105
копии,105
нитолмачевской,104
автора,103
горы,103
белой,103
стены,103
дом,102
женщины,99
вклеен,99
погрудный,99
здания,98
страницу,98
корпус,98
бумаги,97
рядом,96
рисунок,94
нижней,94
держит,93
номерами,93
правая,93
негатив,92
форме,92
здание,91
направо,91
рука,90
людей,89
фас,88
1,87
рукой,86
изображением,85
левая,85
рубашке,85
интерьер,85
снимок,84
языке,84
фон,83
ниже,83
груди,83
формы,82
карточки,82
фасад,80
надписи,79
русском,78
сверху,77
человек,77
полный,77
оборотной,77
костюме,77
сидят,76
храма,73
языках,72
типографским,71
дальнем,71
верхней,71
съ,71
выполненный,70
головы,70
назад,70
12,70
3,69
рубашку,69
авторов,69
одном,68
4,68
нег,67
прямоугольной,66
способом,66
ними,66
комплект,66
церкви,65
выполнен,65
обложку,64
дубль,64
верхнем,64
поясное,63
нижнему,63
мужская,62
красного,62
гг,62
центру,61
двое,61
деревья,61
небо,61
погрудно,60
светлого,60
поворот,60
лицевой,60
le,60
рукописный,60
имеет,60
городской,59
съемки,59
пояс,59
усами,59
города,59
сцена,58
столом,58
въ,57
10,57
лицо,57
костюм,56
двух,55
круге,55
коричневого,55
темном,55
спектакля,55
18,54
5,54
ноги,54
лет,53
двумя,53
красной,53
приклеена,53
вариант,53
молодой,52
черного,52
светлой,52
волосами,52
белом,52
перспектива,52
которой,52
сторону,51
дорога,51
цветных,51
масштабная,50
шкала,50
военной,50
время,50
план,50
второй,50
пиджаке,49
галстук,49
люди,49
видна,49
открыток,49
поднята,48
цв,48
деталь,48
14,48
белого,48
черный,48
темный,47
деревьев,47
композиция,47
штамп,47
собора,47
белый,47
слегка,47
наклеен,46
одежде,46
иллюстрированную,46
название,45
гор,45
оттиском,45
гамма,45
вдали,44
состоит,44
грузии,44
смотрит,44
костюмах,44
виден,44
виде,44
прямо,44
поясной,44
белая,44
место,43
ряду,43
башня,43
ермакова,43
ряд,43
изображения,43
фотопортрет,42
вверх,42
пиджак,42
бумаге,42
окна,42
картонному,41
бланку,41
